Block Global Order: 698
Points:
(0.0530733, 0.0205084)
(0.0643416, 0.00345808)
(0.0738238, 0.0222729)
(0.0684713, 0.00275822)
(0.0608261, 0.00270948)
(0.0655837, 0.0159334)
(0.0703166, 0.00168147)
(0.052445, 0.000126784)
(0.0564517, 0.00789694)
(0.0613383, 0.00306398)
(0.0532887, 0.0149656)
(0.0722234, 0.0200799)
(0.0533957, 0.00940475)
(0.068097, 0.00231159)
(0.0650848, 0.0238583)
(0.0683515, 0.013448)
(0.0616368, 0.000251495)
(0.0614476, 0.0160151)
(0.0590672, 0.00565269)
(0.0511504, 8.80761e-05)
(0.0671996, 0.00670982)
(0.0680922, 0.00682944)
(0.0699143, 0.00857742)
(0.0734717, 0.0038397)
(0.0567593, 0.0103658)
(0.0608384, 0.0139645)
(0.0712173, 0.0241394)
(0.0655434, 0.0158713)
(0.0608231, 0.0155838)
(0.0598789, 0.00997894)
(0.0741161, 0.00935341)
(0.0543759, 0.00450072)
(0.0640488, 0.0248314)
(0.0683878, 0.00721207)
(0.0526392, 0.00423262)
(0.074748, 0.017702)
(0.0667234, 0.012725)
(0.0689679, 0.00155707)
(0.0689351, 0.0019984)
(0.0675413, 0.00805562)
(0.0577994, 0.00270282)
(0.0576538, 0.00649834)
(0.0595364, 0.0241113)
(0.0541942, 0.0119784)
(0.0742116, 0.00353436)
(0.0523565, 0.0185489)
(0.0685047, 0.0057787)
(0.0663287, 0.00984969)
(0.0505484, 0.00721805)
(0.0538649, 0.0219102)
(0.0543566, 0.0221522)
(0.0645182, 0.00710628)
(0.0553028, 0.0119869)
(0.0737643, 0.0233301)
(0.0511603, 0.0208098)
(0.0674681, 0.00378813)
(0.0531401, 0.00945551)
(0.0717366, 0.0220015)
(0.0550457, 0.00906282)
(0.0582353, 0.0040719)
(0.0556292, 0.00538114)
(0.0747087, 0.0159603)
(0.073268, 0.00888863)
(0.0700845, 0.0164204)
(0.0675158, 0.00150276)
(0.0641879, 0.00679147)
(0.0639572, 0.0166552)
(0.0685255, 0.0233796)
(0.0631462, 0.0148668)
(0.0588001, 0.0160528)
(0.0626651, 0.0101704)
(0.055196, 0.0203674)
(0.055986, 0.0205032)
(0.0618117, 0.021463)
(0.0516651, 0.000526477)
(0.0727676, 0.00636773)
(0.0689202, 0.0126967)
(0.0686902, 0.0237809)
(0.0714102, 0.0125575)
(0.0715021, 0.00610586)
(0.0645172, 0.00499561)
(0.0715994, 0.0234882)
(0.0683338, 0.022267)
(0.073349, 0.0147067)
(0.0612524, 0.018133)
(0.0539536, 0.0146273)
(0.0596705, 0.00894309)
(0.0628275, 0.016736)
(0.0521741, 0.00842735)
(0.0748307, 0.00442144)
(0.0661261, 0.0237671)
(0.0684825, 0.0126504)
(0.0606683, 0.0167305)
(0.0658039, 0.00609721)
(0.0617526, 0.0198331)
(0.0529967, 0.000379685)
(0.0738566, 0.0101382)
(0.0512973, 0.0108387)
(0.0647494, 0.0222632)
(0.0608784, 0.021264)
(0.051713, 0.00943195)
(0.059174, 0.011625)
(0.0700213, 0.00829652)
(0.0547865, 0.0141096)
(0.0616318, 0.0194103)
(0.0730006, 0.0139537)
(0.0742655, 0.0234734)
(0.0702643, 0.000581231)
(0.0522826, 0.0125213)
(0.0690718, 0.0212321)
(0.0569985, 0.018857)
(0.0608944, 0.00618156)
(0.057224, 0.00740751)
(0.0623684, 0.00910786)
(0.0657606, 0.0168097)
(0.0605111, 0.0168743)
(0.0596027, 0.0240205)
(0.0729108, 0.0218611)
(0.0636359, 0.00102457)
(0.0742572, 0.0176676)
(0.0516498, 0.0152903)
(0.069257, 0.0241066)
(0.0626461, 0.0215846)
(0.0513615, 0.00916766)
(0.0509312, 6.03436e-05)
(0.0715914, 0.0184555)
(0.0621914, 0.00484712)
(0.0705743, 0.0141203)
(0.0610752, 0.0075466)
(0.0521644, 0.0201458)
(0.0692751, 0.0193533)
(0.0565866, 0.0231168)
(0.0603901, 0.00756949)
(0.0716362, 0.0149151)
(0.0662114, 0.0123416)
(0.0632132, 0.0146374)
(0.0588449, 0.0145165)
(0.0580915, 0.0203415)
(0.0678218, 0.0114567)
(0.0504315, 0.00278634)
(0.054246, 0.0199225)
(0.0714232, 0.00400216)
(0.0607468, 0.0151508)
(0.0629108, 0.00194508)
(0.0672418, 0.00704716)
(0.070366, 0.00182566)
(0.0637318, 0.0107628)
(0.0695105, 0.0199195)
(0.0676287, 0.019547)
(0.0695311, 0.0104485)
(0.0529061, 0.00702872)
(0.0677323, 0.0141145)
(0.0672983, 0.00462499)
(0.0607121, 0.00841659)
(0.0704979, 0.019714)
(0.0529127, 0.00986938)
(0.0724652, 0.0143782)
